"wrkstat","hrs1","marital","sibs","childs","age","educ","paeduc","maeduc","degree","sex","race","born","income","rincome","size","grass","postlife","happy","hapmar","life","coneduc","conpress","conmedic","contv","weekswrk","satjob","richwork","sexeduc","tvhours","hrsrelax","mntlhlth"
"Working full time",33,"Never married",11,5,36,9,7,4,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",12,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","A GREAT DEAL","ONLY SOME",42,"A little dissatisfied","Continue to work","Favor",9,15,2
"Keeping house",17,"Never married",2,2,31,5,9,5,"Bachelor's","MALE","Black","YES","$25,000 or more","$25000 OR MORE",714,"Should not be legal","YES","Pretty happy","VERY HAPPY","Dull","ONLY SOME","ONLY SOME","HARDLY ANY","HARDLY ANY",1,"Very satisfied","Continue to work","Favor",12,15,1
"Working full time",24,"Divorced",2,2,38,7,11,19,"Bachelor's","MALE","White","YES","$25,000 or more","$15000 - 19999",14,"Should not be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME",1,"Moderately satisfied","Continue to work","Favor",12,16,1
"Working full time",38,"Divorced",15,4,39,14,9,7,"Bachelor's","FEMALE","White","YES","$25,000 or more","$15000 - 19999",602,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY",42,"Very satisfied","Continue to work","Favor",9,16,1
"Unemployed, laid off, looking for work",13,"Married",11,5,52,4,5,9,"High school","MALE","White","YES","$25,000 or more","$25000 OR MORE",95,"Should be legal","NO","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",42,"Moderately satisfied","Stop working","Favor",2,17,7
"Working full time",28,"Married",19,3,48,9,5,15,"High school","FEMALE","Other","NO","$25,000 or more","$25000 OR MORE",32,"Should not be legal","YES","Pretty happy","VERY HAPPY","Routine","HARDLY ANY","HARDLY ANY","A GREAT DEAL","HARDLY ANY",38,"Very satisfied","Stop working","Oppose",2,2,2
"Working full time",33,"Never married",11,2,20,9,7,5,"High school","MALE","Other","YES","$25,000 or more","$20000 - 24999",29,"Should be legal","YES","Not too happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME",42,"Very satisfied","Continue to work","Favor",12,10,1
"Retired",33,"Never married",17,3,48,6,9,7,"Bachelor's","FEMALE","Black","YES","$15,000 to $19,999","$25000 OR MORE",67,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY",11,"Moderately satisfied","Continue to work","Favor",12,2,4
"Working full time",38,"Divorced",11,3,36,9,5,7,"High school","MALE","White","YES","$15,000 to $19,999","LT $1000",61,"Should be legal","NO","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",5,"Moderately satisfied","Continue to work","Oppose",13,10,1
"Working part time",38,"Married",2,1,34,4,5,21,"High school","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",2099,"Should be legal","YES","Pretty happy","NOT TOO HAPPY","Exciting","HARDLY ANY","ONLY SOME","A GREAT DEAL","HARDLY ANY",3,"Very satisfied","Continue to work","Favor",2,15,1
"Working full time",24,"Never married",4,4,8,8,21,6,"High school","FEMALE","Black","YES","$1,000 to $2,999","$25000 OR MORE",714,"Should not be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",7,"Very satisfied","Stop working","Favor",9,17,6
"Keeping house",44,"Married",21,7,53,5,20,17,"Bachelor's","MALE","White","YES","$1,000 to $2,999","$25000 OR MORE",11,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",1,"Moderately satisfied","Continue to work","Favor",2,14,1
"Working part time",24,"Separated",19,1,41,7,5,7,"High school","FEMALE","White","NO","$25,000 or more","$25000 OR MORE",3793,"Should not be legal","YES","Not too happy","VERY HAPPY","Exciting","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Very satisfied","Continue to work","Favor",12,10,18
"Working full time",54,"Divorced",20,2,48,8,11,1,"Bachelor's","FEMALE","White","YES","$10,000 to $14,999","$25000 OR MORE",41,"Should be legal","NO","Pretty happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",42,"Moderately satisfied","Stop working","Favor",9,10,2
"Working part time",18,"Married",15,3,41,6,18,21,"Graduate","MALE","White","YES","$25,000 or more","$7000 TO 7999",16,"Should be legal","YES","Very happy","PRETTY HAPPY","Exciting","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","HARDLY ANY",1,"Very satisfied","Continue to work","Favor",14,5,1
"Working full time",33,"Never married",2,4,29,6,3,5,"Associate/junior college","MALE","White","NO","$25,000 or more","$25000 OR MORE",3793,"Should not be legal","YES","Not too happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",42,"Moderately satisfied","Continue to work","Favor",2,14,1
"Working part time",38,"Widowed",2,2,54,14,9,5,"Graduate","FEMALE","White","YES","$25,000 or more","$20000 - 24999",14,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY",42,"A little dissatisfied","Stop working","Favor",2,14,1
"Retired",33,"Never married",11,3,44,5,4,7,"High school","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",25,"Should not be legal","YES","Pretty happy","VERY HAPPY","Exciting","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY",12,"Moderately satisfied","Stop working","Favor",15,10,1
"Working full time",54,"Married",2,3,53,10,1,9,"Bachelor's","MALE","White","YES","$25,000 or more","$25000 OR MORE",57,"Should be legal","NO","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","A GREAT DEAL","ONLY SOME","HARDLY ANY",1,"Very satisfied","Continue to work","Favor",12,16,1
"Working full time",38,"Separated",17,2,27,5,5,18,"High school","FEMALE","Other","YES","$10,000 to $14,999","$25000 OR MORE",304,"Should not be legal","YES","Very happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","A GREAT DEAL",42,"Very satisfied","Continue to work","Favor",9,10,1
"Working full time",46,"Never married",2,1,12,7,18,5,"Graduate","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",105,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","ONLY SOME",38,"Moderately satisfied","Continue to work","Favor",14,10,21
"Working full time",38,"Never married",2,1,11,10,5,5,"Associate/junior college","MALE","White","YES","$25,000 or more","$25000 OR MORE",67,"Should be legal","YES","Pretty happy","NOT TOO HAPPY","Routine","A GREAT DEAL","ONLY SOME","ONLY SOME","ONLY SOME",1,"A little dissatisfied","Stop working","Favor",9,1,6
"Working full time",33,"Divorced",16,6,51,5,9,20,"High school","FEMALE","White","YES","$25,000 or more","$15000 - 19999",7,"Should be legal","NO","Very happy","VERY HAPPY","Routine","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","HARDLY ANY",42,"Very satisfied","Continue to work","Favor",1,2,6
"Retired",24,"Married",15,1,46,9,9,7,"High school","MALE","White","YES","$20,000 to $24,999","$25000 OR MORE",30,"Should be legal","NO","Very happy","PRETTY HAPPY","Routine","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME",42,"Very satisfied","Continue to work","Favor",13,5,4
"Working full time",7,"Married",19,1,10,5,11,7,"High school","FEMALE","White","YES","$20,000 to $24,999","$20000 - 24999",260,"Should not be legal","YES","Pretty happy","VERY HAPPY","Dull","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME",35,"A little dissatisfied","Stop working","Favor",1,2,1
"Retired",33,"Divorced",19,3,53,9,9,9,"Graduate","FEMALE","Other","NO","$20,000 to $24,999","$25000 OR MORE",11,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",42,"Very satisfied","Continue to work","Favor",13,16,1
"Other",24,"Separated",15,1,69,7,5,14,"High school","MALE","Black","NO","$25,000 or more","$25000 OR MORE",71,"Should be legal","NO","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",42,"Moderately satisfied","Continue to work","Favor",13,1,4
"Keeping house",54,"Married",18,4,34,7,5,5,"High school","MALE","Black","YES","$25,000 or more","$25000 OR MORE",10,"Should be legal","NO","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",1,"A little dissatisfied","Continue to work","Oppose",9,16,1
"Working full time",18,"Married",18,1,51,9,11,5,"Less than high school","MALE","White","YES","$7,000 to $7,999","$20000 - 24999",63,"Should be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME",40,"Moderately satisfied","Continue to work","Favor",2,10,1
"Working full time",29,"Married",15,3,49,10,18,9,"High school","MALE","White","YES","$25,000 or more","$25000 OR MORE",117,"Should be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY",1,"Very satisfied","Stop working","Favor",13,10,1
"Working full time",7,"Widowed",2,2,66,10,9,5,"High school","FEMALE","White","YES","$20,000 to $24,999","$25000 OR MORE",41,"Should not be legal","YES","Very happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",29,"Moderately satisfied","Continue to work","Favor",2,10,1
"Working full time",35,"Married",15,4,48,8,11,7,"High school","FEMALE","Black","YES","$20,000 to $24,999","$25000 OR MORE",32,"Should be legal","NO","Very happy","PRETTY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",16,"Very satisfied","Continue to work","Favor",2,15,1
"Retired",40,"Married",20,3,7,8,7,9,"High school","FEMALE","Black","NO","$25,000 or more","$25000 OR MORE",32,"Should be legal","YES","Not too happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY",42,"Very satisfied","Stop working","Oppose",1,15,1
"Keeping house",13,"Widowed",15,3,42,9,9,8,"Less than high school","FEMALE","White","NO","$20,000 to $24,999","$25000 OR MORE",9,"Should not be legal","YES","Very happy","PRETTY HAPPY","Exciting","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","ONLY SOME",42,"Moderately satisfied","Continue to work","Favor",2,10,8
"Working full time",70,"Never married",15,1,35,11,9,5,"High school","MALE","White","YES","$25,000 or more","$25000 OR MORE",1446,"Should be legal","YES","Very happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","A GREAT DEAL",1,"Very satisfied","Continue to work","Favor",9,3,5
"Keeping house",58,"Married",19,1,38,11,7,10,"High school","MALE","Black","YES","$25,000 or more","$15000 - 19999",60,"Should be legal","YES","Very happy","PRETTY HAPPY","Routine","A GREAT DEAL","ONLY SOME","HARDLY ANY","ONLY SOME",42,"Very satisfied","Continue to work","Favor",9,16,6
"Retired",33,"Widowed",17,1,2,15,9,7,"High school","FEMALE","White","YES","$25,000 or more","$8000 TO 9999",32,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Routine","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY",42,"Very dissatisfied","Continue to work","Favor",12,15,1
"Keeping house",33,"Married",20,6,33,5,5,7,"Less than high school","MALE","White","NO","$25,000 or more","$25000 OR MORE",304,"Should not be legal","NO","Pretty happy","VERY HAPPY","Exciting","HARDLY ANY","A GREAT DEAL","ONLY SOME","ONLY SOME",42,"Moderately satisfied","Continue to work","Favor",2,10,3
"Retired",18,"Divorced",2,3,7,9,11,7,"High school","FEMALE","White","YES","$10,000 to $14,999","$25000 OR MORE",118,"Should not be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME",1,"Very satisfied","Stop working","Favor",2,14,1
"Working full time",24,"Never married",11,3,40,5,9,5,"High school","FEMALE","Other","YES","$25,000 or more","$4000 TO 4999",40,"Should not be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",42,"Very satisfied","Continue to work","Favor",2,11,3
"Working part time",33,"Never married",11,1,25,12,7,3,"Graduate","MALE","White","YES","$25,000 or more","$15000 - 19999",8175,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",40,"Very satisfied","Continue to work","Favor",2,19,1
"Working full time",57,"Married",1,7,15,6,3,9,"High school","MALE","Other","YES","$25,000 or more","$15000 - 19999",439,"Should be legal","YES","Not too happy","PRETTY HAPPY","Routine","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","ONLY SOME",38,"Very satisfied","Continue to work","Favor",2,14,1
"Keeping house",39,"Married",3,1,29,18,3,9,"Less than high school","MALE","White","NO","$25,000 or more","$25000 OR MORE",33,"Should not be legal","YES","Very happy","PRETTY HAPPY","Routine","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY",42,"Very satisfied","Stop working","Favor",2,2,6
"Working part time",33,"Widowed",15,3,61,9,5,7,"Bachelor's","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",28,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","A GREAT DEAL","A GREAT DEAL","HARDLY ANY",42,"Moderately satisfied","Stop working","Favor",2,16,15
"Working full time",33,"Divorced",16,1,46,7,9,3,"Bachelor's","FEMALE","Other","NO","$25,000 or more","$5000 TO 5999",1307,"Should be legal","YES","Not too happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",30,"Moderately satisfied","Continue to work","Favor",9,1,1
"Working full time",31,"Married",21,4,28,5,8,21,"High school","MALE","Black","YES","$25,000 or more","$10000 - 14999",439,"Should be legal","YES","Very happy","PRETTY HAPPY","Routine","ONLY SOME","HARDLY ANY","A GREAT DEAL","ONLY SOME",32,"Moderately satisfied","Stop working","Favor",9,5,1
"Working full time",54,"Never married",15,1,19,9,9,11,"High school","MALE","Other","NO","$25,000 or more","$25000 OR MORE",2696,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Routine","HARDLY ANY","A GREAT DEAL","A GREAT DEAL","ONLY SOME",40,"Very satisfied","Continue to work","Favor",2,15,1
"Retired",33,"Divorced",15,4,52,9,6,5,"Bachelor's","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",64,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME",1,"Very satisfied","Continue to work","Favor",2,10,1
"Working full time",35,"Never married",16,1,34,11,5,5,"High school","MALE","White","YES","$25,000 or more","$20000 - 24999",260,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME",42,"Very satisfied","Continue to work","Favor",2,17,1
"Keeping house",61,"Married",19,5,44,5,18,5,"Bachelor's","FEMALE","Other","NO","$25,000 or more","$25000 OR MORE",2099,"Should be legal","YES","Pretty happy","NOT TOO HAPPY","Exciting","ONLY SOME","HARDLY ANY","A GREAT DEAL","ONLY SOME",42,"Very satisfied","Continue to work","Favor",1,10,3
"In school",41,"Separated",15,2,20,9,6,9,"Bachelor's","MALE","Black","YES","$25,000 or more","$25000 OR MORE",23,"Should not be legal","YES","Very happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","HARDLY ANY","HARDLY ANY",42,"Moderately satisfied","Continue to work","Favor",17,10,1
"In school",24,"Married",2,2,16,11,14,9,"Graduate","FEMALE","Other","NO","$25,000 or more","$8000 TO 9999",14,"Should be legal","YES","Very happy","PRETTY HAPPY","Exciting","A GREAT DEAL","ONLY SOME","ONLY SOME","HARDLY ANY",42,"Moderately satisfied","Continue to work","Favor",2,14,1
"Keeping house",29,"Never married",15,5,22,21,13,7,"High school","MALE","Other","YES","$10,000 to $14,999","$25000 OR MORE",563,"Should be legal","YES","Very happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Moderately satisfied","Continue to work","Oppose",13,18,1
"Working full time",54,"Widowed",15,4,64,5,6,5,"Bachelor's","MALE","White","YES","$25,000 or more","$8000 TO 9999",2696,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","A GREAT DEAL","ONLY SOME","A GREAT DEAL","ONLY SOME",1,"Moderately satisfied","Continue to work","Favor",12,10,3
"Working full time",33,"Married",1,1,31,6,7,18,"High school","FEMALE","White","YES","$25,000 or more","$20000 - 24999",7,"Should not be legal","NO","Very happy","PRETTY HAPPY","Routine","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME",42,"A little dissatisfied","Continue to work","Favor",9,2,1
"Working full time",49,"Separated",11,2,41,7,7,9,"Bachelor's","MALE","White","NO","$25,000 or more","$25000 OR MORE",57,"Should not be legal","YES","Pretty happy","NOT TOO HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",42,"Moderately satisfied","Continue to work","Favor",1,16,8
"Retired",33,"Widowed",17,1,47,9,14,5,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",12,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",18,"Very satisfied","Continue to work","Favor",9,1,21
"Working part time",44,"Married",15,2,57,14,9,10,"High school","FEMALE","White","YES","$20,000 to $24,999","$25000 OR MORE",40,"Should not be legal","YES","Very happy","VERY HAPPY","Routine","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","A GREAT DEAL",1,"Very satisfied","Continue to work","Favor",14,19,1
"In school",33,"Divorced",2,1,29,7,9,9,"Bachelor's","MALE","Other","NO","$20,000 to $24,999","$25000 OR MORE",137,"Should be legal","YES","Very happy","VERY HAPPY","Exciting","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME",30,"Very satisfied","Stop working","Favor",9,14,1
"Working part time",38,"Married",15,3,9,7,4,4,"High school","MALE","White","YES","$7,000 to $7,999","$8000 TO 9999",48,"Should be legal","NO","Pretty happy","PRETTY HAPPY","Routine","ONLY SOME","HARDLY ANY","HARDLY ANY","HARDLY ANY",1,"Moderately satisfied","Stop working","Favor",2,6,1
"Working part time",44,"Never married",16,1,10,6,18,9,"High school","MALE","Black","YES","$25,000 or more","$15000 - 19999",49,"Should be legal","YES","Very happy","VERY HAPPY","Routine","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","HARDLY ANY",1,"Very satisfied","Continue to work","Favor",14,15,1
"Working full time",33,"Married",11,2,43,4,20,21,"Associate/junior college","MALE","White","YES","$25,000 or more","$3000 TO 3999",64,"Should be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","A GREAT DEAL","A GREAT DEAL","HARDLY ANY",42,"Moderately satisfied","Continue to work","Favor",1,10,3
"Other",28,"Separated",19,1,52,5,5,5,"Associate/junior college","MALE","Black","YES","$25,000 or more","$25000 OR MORE",319,"Should be legal","YES","Not too happy","PRETTY HAPPY","Exciting","HARDLY ANY","ONLY SOME","A GREAT DEAL","ONLY SOME",42,"Very satisfied","Continue to work","Favor",9,2,15
"Working full time",18,"Never married",11,1,16,9,9,5,"High school","MALE","Other","YES","$25,000 or more","$25000 OR MORE",11,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Routine","HARDLY ANY","A GREAT DEAL","HARDLY ANY","A GREAT DEAL",34,"Moderately satisfied","Continue to work","Favor",12,17,1
"Working full time",18,"Married",11,3,47,5,11,5,"Associate/junior college","FEMALE","White","YES","$25,000 or more","$10000 - 14999",9,"Should not be legal","NO","Very happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",42,"Moderately satisfied","Continue to work","Favor",5,10,1
"Keeping house",18,"Divorced",11,3,51,7,9,5,"Bachelor's","MALE","White","YES","$25,000 or more","$25000 OR MORE",12,"Should not be legal","YES","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",42,"Moderately satisfied","Continue to work","Favor",2,10,2
"Retired",33,"Never married",2,1,1,14,1,5,"Less than high school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",27,"Should be legal","NO","Pretty happy","VERY HAPPY","Exciting","A GREAT DEAL","ONLY SOME","HARDLY ANY","ONLY SOME",42,"A little dissatisfied","Continue to work","Favor",2,19,11
"Working full time",44,"Never married",11,1,21,11,5,5,"Bachelor's","MALE","Black","YES","$25,000 or more","$15000 - 19999",30,"Should not be legal","YES","Very happy","VERY HAPPY","Routine","HARDLY ANY","ONLY SOME","A GREAT DEAL","ONLY SOME",18,"Very satisfied","Continue to work","Favor",2,15,5
"Working full time",33,"Divorced",1,3,60,5,5,9,"High school","FEMALE","White","YES","$10,000 to $14,999","$10000 - 14999",16,"Should be legal","NO","Pretty happy","PRETTY HAPPY","Routine","A GREAT DEAL","ONLY SOME","A GREAT DEAL","A GREAT DEAL",1,"Very satisfied","Stop working","Favor",2,15,15
"Keeping house",8,"Married",2,4,5,21,5,15,"High school","FEMALE","White","NO","$25,000 or more","$25000 OR MORE",563,"Should be legal","NO","Pretty happy","PRETTY HAPPY","Routine","HARDLY ANY","ONLY SOME","HARDLY ANY","HARDLY ANY",1,"A little dissatisfied","Continue to work","Oppose",1,2,1
"Working full time",33,"Divorced",15,1,57,14,5,9,"High school","FEMALE","White","NO","$25,000 or more","$4000 TO 4999",137,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY",23,"Moderately satisfied","Continue to work","Favor",1,14,6
"Working full time",33,"Divorced",19,3,1,7,9,9,"Bachelor's","FEMALE","Black","YES","$15,000 to $19,999","$25000 OR MORE",2099,"Should be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME",42,"Very satisfied","Continue to work","Oppose",9,10,3
"With a job, but not at work because of temporary illness, vacation, strike",13,"Never married",11,4,19,7,15,5,"High school","FEMALE","White","YES","$25,000 or more","$20000 - 24999",95,"Should be legal","NO","Very happy","VERY HAPPY","Routine","A GREAT DEAL","ONLY SOME","A GREAT DEAL","ONLY SOME",1,"Moderately satisfied","Continue to work","Favor",2,19,21
